title,people
Avatar,"Alicia Vela-Bailey, Allan Henry, Anthony Ingruber, April Marie Thomas, Ashley Jeffery, Austin Wilson, Brandon Jelkes, Bravita A. Threatt, CCH Pounder, Carvon Futrell, Chiling Lin, Chris Mala, Christa Oliver, Christopher Nolen, Colin Bleasdale, Cullen B. Madden, David Van Horn, Dean Knowsley, Debra Wilson, Dileep Rao, Eric Oliver, Frankie Torres, Gareth Ruck, Gerry Blair, Giovanni Ribisi, Hanniyah Muhammad, Ilram Choi, Jacob Tomuri, Jahnel Curfman, James Cameron, James Gaylyn, James Horner, James Patrick Pitt, Jamie Harrison, Jason Whyte, Jeffrey Wisniewski, Jeremy Hollobon, Jodie Landau, Jodie Taylor, Joel David Moore, Jon Curry, Joseph Brady Madden, Joseph Mika-Hunt, Julene Renee, Julie Lamm, Kai Pantano, Kelly Kilgour, Kelson Henderson, Kevin Dorman, Kevin Ishioka, Kim Sinclair, Kyla Warren, Laz Alonso, Lisa Roumain, Logan Pithyou, Lucy Briant, Luke Hawker, Matt Clayton, Matt Gerald, Matthew Chamberlain, Mauro Fiore, Melvin Leno Clark III, Micah Moch, Michael Blain-Rozgay, Michelle Rodriguez, Mike Bodnar, Mike Stassi, Nathan Meister, Nicole Dionne, Nikie Zambo, Orlando Meunier, Paul Yates, Peter Dillon, Peter Mensah, Raja, Rhian Sheehan, Richard Whiteside, Sam Worthington, Sara Wilson, Scott Lawrence, Sean Anthony Moran, Sean Patrick Murphy, Sigourney Weaver, Sonia Yee, Stefan Dechant, Stephen Lang, Stuart Pollock, T. J. Storm, Taisuke Tanimura, Tamica Washington-Miller, Taylor Kibby, Terry Notary, Todd Cherniawsky, Wes Studi, Woody Schultz, Wray Wilson, Zoe Saldana"
Pirates of the Caribbean: At World's End,"Andy Beckwith, Angus Barnett, Bill Nighy, Chow Yun-fat, Christopher S. Capp, Dariusz Wolski, David Bailie, David Meunier, David Schofield, Dominic Scott Kay, Geoffrey Rush, Ghassan Massoud, Giles New, Gore Verbinski, Greg Ellis, Hakeem Kae-Kazim, Hans Zimmer, Ho-Kwan Tse, Jack Davenport, Johnny Depp, Jonathan Pryce, Keira Knightley, Keith Richards, Kevin McNally, Lauren Maher, Lee Arenberg, Mackenzie Crook, Martin Klebba, Naomie Harris, Orlando Bloom, Peter Donald Badalamenti II, Reggie Lee, Stellan Skarsgård, Takayo Fischer, Tom Hollander, Vanessa Branch"
Spectre,"Adam McGrady, Adel Bencherif, Adriana Paz, Alessandro Bressanello, Alessandro Cremona, Amra Mallassi, Andrew Scott, Andy Cheung, Antonio Salines, Ben Whishaw, Benito Sagredo, Bodo Friesecke, Brigitte Millar, Chris Lowe, Christoph Waltz, Dai Tabuchi, Daniel Craig, Dave Bautista, Derek Horsham, Detlef Bothe, Domenico Fortunato, Eiji Mihara, Emilio Aniba, Erick Hayden, Francesco Arca, Francis Attakpah, Gary Fannin, Gediminas Adomaitis, George Lasha, Gido Schimanski, Harald Windisch, Hoyte van Hoytema, Hugh McClelland, Ian Bonar, Jesper Christensen, Joseph Balderrama, Judi Dench, Junichi Kajioka, Karl Farrer, Kim Adis, Konstantin Gerlach, Lara Parmiani, Liam Georgensen, Lili Epply, Lydia Fry, Léa Seydoux, Marc Zinga, Marco Zingaro, Marie Wohlmuth, Marlene Chazot, Marlon Boess, Matija Mondi Matović, Matteo Taranto, Maurisa Selene Coleman, Michael Glantschnig, Michael White, Miloud Mourad Benamara, Monica Bellucci, Nader Dernaika, Naomie Harris, Nari Blair-Mangat, Neve Gachev, Nigel Barber, Noah Saavedra, Noemi Krausz, Oleg Mirochnikov, Patrice Naiambana, Peppe Lanzetta, Pezhmaan Alinia, Phillip Law, Pip Carter, Ralph Fiennes, Richard Banham, Rory Kinnear, Roxana Alexandru , Sadao Ueda, Sam Mendes, Sami Gaidi, Sargon Yelda, Simon Lenagan, Stefano Elfi DiClaudia, Stephane Cornicard, Stephanie Sigman, Tam Williams, Tenoch Huerta, Thomas Newman, Tristan Matthiae, Umit Ulgen, Victor Schefé, Wai Wong, Walid Mumuni, Wilhem Iben, Ziad Abaza"
The Dark Knight Rises,"Aidan Gillen, Aja Evans, Aldous Davidson, Alex Kruz, Alex Moore, Alex Ziwak, Aliash Tepina, Allen Merritt, Alon Aboutboul, Andres Perez-Molina, Anna Bregman, Anne Hathaway, Anthony J. Sacco, Aramis Knight, Barbara Vincent, Ben Mendelsohn, Ben Roethlisberger, Bill Cowher, Brent Briscoe, Brett Cullen, Burn Gorman, Cale McConnell, Cameron Jack, Charlie Alejandro, Chris Ellis, Chris Hill, Chris Vaina, Christian Bale, Christopher Bryan Gomez, Christopher Judge, Christopher Nolan, Cillian Murphy, Cindy Jackson, Claire Julien, Courtney Munch, Daniel Jordano, Daniel Newman, Daniel Sunjata, David Dale McCue, David Dayan Fisher, David Gyasi, David Monahan, Desmond Harrington, Diogo Hausen, Duane Henry, Ed Heavey, Emily Schooley, Eric Salazar, Fileena Bahris, Frank Fata, Fredric Lehne, Gary Oldman, Gary Sievers, Glen Powell, Gonzalo Menendez, Graham Curry, Grant Babbitt, Hans Zimmer, Hector Atreyu Ruiz, Hrvoje Klecz, Ian Bohen, Isiah Adams, Jackson Nunn, Jake Canuso, James Hambidge, James Harvey Ward, James Quinn, James Rawlings, Jason Yee, Jay Benedict, Jeff Moffitt, Jillian Armenante, Joe Lipari, Joey King, John Farrer, John Hollingworth, John MacMillan, John Nolan, John W. Iwanonkiw, John Zion, Jorge Mardel, Joseph Gordon-Levitt, Joseph Lyle Taylor, Joseph O'Brien, Josh Pence, Josh Stewart, Joshua Elijah Reese, Juno Temple, Justin Michael Woods, Kirsten Roeters, Kyle David Pierce, Kyle Patrick Brennan, LeJon, Lex Daniel, Liam Neeson, London May, Marc Abbink, Maria Zambrana, Marion Cotillard, Mark Falvo, Mark Killeen, Mark Roman, Massi Furlan, Matthew Gooley, Matthew Modine, Matthew Reedy, Michael Caine, Michael Papajohn, Michael Power, Michael Wren Gucciardo, Michelle Vezzani, Miranda Nolan, Morgan Freeman, Mychael Bates, Naaman Marshall, Nestor Carbonell, Nick Julian, Nilo Otero, Noel Gugliemi, Olan Montgomery, Oliver Cotton, Orion McCabe, Patrick Cox, Patrick Jordan, Patrick Leahy, Paul Jude Letersky, Peter Holden, Reggie Lee, Rick Bolander, Rob Brown, Robert Arensen, Robert W. Joseph, Robert Wisdom, Ronnie Gene Blevins, Russ Fega, Salomon Passariello, Sam Harris, Sam Kennard, Sarah Goldberg, Scott Churchson, Shane Nolan, Sid Karne, Silvia Lombardo, Stephanie Domini Ehlert, Sun Jae Kim, Thomas Lennon, Thomas Tull, Tiffany Kemp, Tiffany Sander McKenzie, Todd Gearhart, Tom Conti, Tom Hardy, Tomas Arana, Tommy Bayiokos, Travis Guba, Trevor White, Troy Polamalu, Tyler Dean Flores, Tyler La Marr, Uri Gavriel, Vincent van Ommen, Vito Grassi, Wade Williams, Wally Pfister, Warren Brown, Will Estes, William Devane, William Kania"
John Carter,"Amanda Clayton, Andrew M. Ward, Andrew Stanton, Arkie Reece, Ben Dixon, Bryan Cranston, Christopher Goodman, Ciarán Hinds, Daniel Mindel, Daryl Sabara, Davood Ghadami, Dominic West, Don Stark, Edmund Kente, Emily Tierney, James Embree, James Hambidge, James Purefoy, Jared Cyr, Joseph Billingiere, Josh Daugherty, Josh Lusby, Kyle Agnew, Lynn Collins, Mark Strong, Naaman Marshall, Nicholas Woodeson, Peter Dorme, Philip Philmar, Pippa Nixon, Polly Walker, Ryan Church, Samantha Morton, Taylor Kitsch, Thomas Haden Church, Toby Britton, Tommy Gormley, Willem Dafoe"
Spider-Man 3,"A.J. Adelman, Abbey Skinner, Aija Terauda, Aimee Miles, Alyssa Lakota, Amanda Florian, Amy V. Dewhurst, Andre B. Blake, Andrew James Jones, Angelis Alexandris, Anjelia Pelay, Anne Gartlan, Anya Avaeva, April Parker-Jones, Arick Salmea, Arne Starr, Becky Ann Baker, Bernadette Lords, Bill E. Rogers, Bill Nunn, Bill Pope, Brenna Roth, Bria Roberts, Brian Hopson, Brianna Leann Florian, Brigid Turner, Brittany Krall, Bruce Campbell, Bryce Dallas Howard, Carolyn Neff, Christina Cindrich, Christopher Jude, Christopher Stadulis, Christopher Young, Chuck Gerena, Claude Jay, Claudia Katz Minnick, Cliff Robertson, Crystal Marie Denha, Daniel Gillies, Daniel Mignault, Daniel Shafer, David Backus, Dawn Marie Anderson, Dean Edwards, Derrick 'Phoenix' Thomas, Dylan Baker, Edward Padilla, Elizabeth Banks, Elya Baskin, Emilio Rivera, Eric Shackelford, Evelyn Vaccaro, Frank Anello, Fredrick Weiss, Graig F. Weich, Grant Curtis, Gregg Daniel, Hal Fishman, Irina Costa, J.K. Simmons, James Cromwell, James Franco, Jen Oda, Jennifer Sparks, Jennifer Weston, Jessi Collins, Jim Coope, Jimmy Star, Joe Bays, Joe Manganiello, Joe Virzi, John Crann, John Paxton, Joseph O'Brien, Julie Jei, Kathryn Bryding, Keith Fausnaught, Keith Woulard, Kevin Fung, Kirsten Dunst, Kristin Somo, La Rivers, Laura McDavid, Liam Stone, Linda Lee, Logan Fry, Lucy Gordon, Luis Rosa, Mageina Tovah, Marc C. Cancassi, Marc Vann, Margaret Laney, Mark Kubr, Martha Millan, Michael Alexander, Michael Ciesla, Michael McLaughlin, Michael Papajohn, Michele-Nanette Miller, Natalie Fabry, Natalie Jones, Natalie McNeil, Nick Poltoranin, Nick Vlassopoulos, Paul Edney, Paul Terrell Clayton, Perla Haney-Jardine, Pierangeli Llinas, Ramon Adams, Ray Wineteer, Reynaldo Gallegos, Robert Curtis Brown, Robert Myers, Rogelio T. Ramos, Rosemary Harris, Sam Raimi, Sandrine Marlier, Shade Rupe, Shaun Patrick Flynn, Silq Webster, Sincerely A. Ward, Sonya Maddox, Stan Lee, Steve Valentine, Sujeilee Candele, Tajna Tanovic, Tanya Bond, Ted Raimi, Theresa Russell, Thomas Haden Church, Tia Latrell, Tiffany Ashley Florian, Tiffany L. Baker, Tim Maculan, Timothy Patrick Quill, Tobey Maguire, Toni Wynne, Tony Besson, Tony Galtieri, Topher Grace, Trenton Willey, Vanessa Reseland, Vanessa Ross, Willem Dafoe"
Tangled,"Alan Menken, Brad Garrett, Byron Howard, Dan Cooper, Delaney Rose Stein, Donna Murphy, Jeffrey Tambor, Kevin Kliesch, M.C. Gainey, Mandy Moore, Nathan Greno, Paul F. Tompkins, Richard Kiel, Ron Perlman, Tim Mertens, Zachary Levi"
Avengers: Age of Ultron,"Aaron Himelstein, Aaron Taylor-Johnson, Alma Noce, Andy Serkis, Anthony Mackie, Antony Acheampong, Arthur Lee, Barry Aird, Ben Davis, Ben Sakamoto, Bentley Kalu, Beulah Hashe, Brian Schaeffer, Brian Tyler, Chan Woo Lim, Chioma Anyanwu, Chris Evans, Chris Hemsworth, Chris Luca, Christopher Beasley, Claudia Kim, Cobie Smulders, Constanza Ruff, Daniel Westwood, Danny Elfman, Dilyana Bouklieva, Dominique Provost-Chalkley, Don Cheadle, Earl T. Kim, Elizabeth Olsen, Gareth Kieran Jones, Harriet Manamela, Hayley Atwell, Henry Goodman, Ian Kay, Idris Elba, Imogen Poynton, Ingvild Deila, Isaac Andrews, Isabella Poynton, Jaiden Stafford, James Spader, Jeremy Renner, John Gamble, John Mahaffie, Josh Brolin, Joss Whedon, Joti Nagra, Julia Krynke, Julian Bleach, Julie Delpy, Kabelo Thai, Kerry Condon, Lele Leowaba, Linda Cardellini, Mandla Gaduka, Mark Ruffalo, Mathapelo September, Michael Matovski, Mina Kweon, Minhee Yeo, Monty Mclaren-Clark, Musca Kumalo, Namju Go, Nick W. Nicholson, Nondumiso Tembe, Paul Bettany, Ray Chan, Riccardo Richetta, Robert Downey Jr., Samuel L. Jackson, Scarlett Johansson, Stan Lee, Stellan Skarsgård, Sunny Yeo, Thomas Kretschmann, Tony Christensen, Verity Hewlett, Vuyo Dabula"
Harry Potter and the Half-Blood Prince,"Afshan Azad, Alan Rickman, Alfie Enoch, Andrew Ackland-Snow, Anna Shaffer, Bonnie Wright, Bruno Delbonnel, Daniel Radcliffe, Dave Legeno, David Bradley, David Thewlis, David Yates, Devon Murray, Elarica Gallacher, Emma Watson, Evanna Lynch, Frank Dillane, Freddie Stroma, Gemma Jones, Georgina Leonidas, Geraldine Somerville, Helen McCrory, Helena Bonham Carter, Hero Fiennes-Tiffin, Isabella Laughland, James Phelps, Jamie Waylett, Jessie Cave, Jim Broadbent, Josh Herdman, Julie Walters, Katie Leung, Louis Cordice, Maggie Smith, Mark Williams, Matthew Lewis, Michael Gambon, Natalia Tena, Nicholas Hooper, Oliver Phelps, Paul Ritter, Ralph Ineson, Robbie Coltrane, Robert Knox, Rod Hunt, Rupert Grint, Scarlett Byrne, Shefali Chowdhury, Suzanne Toase, Timothy Spall, Tom Felton, Warwick Davis, William Melling"
Batman v Superman: Dawn of Justice,"Abigail Kuklis, Ahman Green, Ahney Her, Alan D. Purwin, Albert Valladares, Alicia Regan, Alma Martinez, Amy Adams, Anderson Cooper, Andrew Sullivan, Anish Jethmalani, Anne Marie Damman, Axel Harney, Bailey Chase, Barton Bund, Ben Affleck, Brandon Bautista, Brandon Spink, Brian Boland, Brooke Baldwin, C.T. Fletcher, Callan Mulvey, Carla Gugino, Carmen Gangale, Chad Krowchuk, Charlie Rose, Chris Newman, Christina Wren, Coburn Goss, Connie Craig, Cruz Gonzalez-Cadel, Dan Amboyer, Dana Bash, Danny Mooney , Dante Briggins, Dave Pasch, David Leach, David Midura, David Paris, Debbie Scaletta, Debbie Stabenow, Dennis North, Diana Gaitirira, Diane Lane, Duvale Murchison, Ele Bardha, Emily Peterson, Erika R. Erickson, Esodie Geiger, Ezra Miller, Gal Gadot, Gary A. Hecker, Gordon Michaels, Graham W.J. Beal, Greg Violand, Hanna Dworkin, Hans Zimmer, Harry Lennix, Henri Franklin, Henrietta Hermelin, Henry Cavill, Henry Frost III, Holly Hunter, Hugh Maguire, Inder Kumar, Issac Ryan Brown, Jade Chynoweth, Jade Mansueto, Jalene Mack, Jason Hughley, Jason Momoa, Jay R. Adams, Jay Towers, Jeff Dumas, Jeff Hanlin, Jeffrey Dean Morgan, Jena Malone, Jeremy Irons, Jesse Eisenberg, Jesse Nagy, Joe Cipriano, Joe Morton, John Lepard, Jon Stewart, Jonathan Stanley, Jonathan West, Joseph Cranford, Julius Tennon, Junkie XL, Justin N. Lang, Keith D. Gallagher, Kent Shocknek, Kevin Costner, Kiff VandenHeuvel, Kirill Ostapenko, Kristine Cabanban, Larry Fong, Laura Atwood, Lauren Cohan, Laurence Fishburne, Lidia Martinez Prado, Lulu Dahl, Lynch R. Travis, Marcel Shihadeh, Marcelo Bem, Marcus Goddard, Mason Heidger, Meighan Gerachis, Michael Cassidy, Michael Ellison, Michael Shannon, Milica Govich , Miriam Lee, Nancy Grace, Natalee Arteaga, Neil deGrasse Tyson, Nene Nwoko, Nicole Forester, Nicole Santini, Owais Ahmed, Patrick Leahy, Patrick O'Connor Cronin, Patrick Wilson, Ralph Lister, Rashontae Wawrzyniak, Ray Fisher, Rebecca Buller, Richard Burden, Ripley Sobo, Robin Atkin Downes, Sal Lopez, Sam Logan Khaleghi, Sammi Rotibi, Sammy A. Publes, Sandra Love Aldridge, Satori Shakoor, Scoot McNairy, Scott Edward Logan, Sebastian Sozzi, Shannon Garnett, Shari Ratliff, Sidi Henderson, Soledad O'Brien, Sonja Crosby, Stephanie Koenig, Steve Jasgur, T.J. Martinelli, Tao Okamoto, Taras Los, Theo Bongani Ndyalvane, Thomas J. Fentress, Tiffany Bedwell, Tiffany L. Addison, Tiren Jhames, Tom Castronovo, Tom Luginbill, Troy Sizemore, Vikram Gandhi, Wayne E. Brown, Will Blagrove, Wunmi Mosaku, Zack Snyder"
