title,people,genre,release_date
Avatar,"actor: Alicia Vela-Bailey, actor: Allan Henry, actor: Anthony Ingruber, actor: April Marie Thomas, actor: Ashley Jeffery, actor: Austin Wilson, actor: Brandon Jelkes, actor: Bravita A. Threatt, actor: CCH Pounder, actor: Carvon Futrell, actor: Chris Mala, actor: Christa Oliver, actor: Christopher Nolen, actor: Colin Bleasdale, actor: Cullen B. Madden, actor: David Van Horn, actor: Dean Knowsley, actor: Debra Wilson, actor: Dileep Rao, actor: Frankie Torres, actor: Gareth Ruck, actor: Gerry Blair, actor: Giovanni Ribisi, actor: Hanniyah Muhammad, actor: Ilram Choi, actor: Jacob Tomuri, actor: Jahnel Curfman, actor: James Gaylyn, actor: James Patrick Pitt, actor: Jamie Harrison, actor: Jason Whyte, actor: Jodie Landau, actor: Jodie Taylor, actor: Joel David Moore, actor: Jon Curry, actor: Joseph Brady Madden, actor: Joseph Mika-Hunt, actor: Julene Renee, actor: Julie Lamm, actor: Kai Pantano, actor: Kelly Kilgour, actor: Kelson Henderson, actor: Kevin Dorman, actor: Kyla Warren, actor: Laz Alonso, actor: Lisa Roumain, actor: Logan Pithyou, actor: Lucy Briant, actor: Luke Hawker, actor: Matt Clayton, actor: Matt Gerald, actor: Matthew Chamberlain, actor: Melvin Leno Clark III, actor: Micah Moch, actor: Michael Blain-Rozgay, actor: Michelle Rodriguez, actor: Mike Bodnar, actor: Nathan Meister, actor: Nicole Dionne, actor: Nikie Zambo, actor: Paul Yates, actor: Peter Dillon, actor: Peter Mensah, actor: Raja, actor: Rhian Sheehan, actor: Richard Whiteside, actor: Sam Worthington, actor: Sara Wilson, actor: Scott Lawrence, actor: Sean Anthony Moran, actor: Sean Patrick Murphy, actor: Sigourney Weaver, actor: Sonia Yee, actor: Stephen Lang, actor: Stuart Pollock, actor: T. J. Storm, actor: Tamica Washington-Miller, actor: Taylor Kibby, actor: Terry Notary, actor: Wes Studi, actor: Woody Schultz, actor: Wray Wilson, actor: Zoe Saldana, composer: James Horner, director: Chiling Lin, director: Eric Oliver, director: James Cameron, director: Jeffrey Wisniewski, director: Jeremy Hollobon, director: Kevin Ishioka, director: Kim Sinclair, director: Mauro Fiore, director: Mike Stassi, director: Orlando Meunier, director: Stefan Dechant, director: Taisuke Tanimura, director: Todd Cherniawsky, writer: James Cameron","{'genres: Science Fiction', 'genres: Fantasy', 'genres: Adventure', 'genres: Action'}",2009-12-10
Pirates of the Caribbean: At World's End,"actor: Andy Beckwith, actor: Angus Barnett, actor: Bill Nighy, actor: Chow Yun-fat, actor: Christopher S. Capp, actor: David Bailie, actor: David Meunier, actor: David Schofield, actor: Dominic Scott Kay, actor: Geoffrey Rush, actor: Ghassan Massoud, actor: Giles New, actor: Greg Ellis, actor: Hakeem Kae-Kazim, actor: Ho-Kwan Tse, actor: Jack Davenport, actor: Johnny Depp, actor: Jonathan Pryce, actor: Keira Knightley, actor: Keith Richards, actor: Kevin McNally, actor: Lauren Maher, actor: Lee Arenberg, actor: Mackenzie Crook, actor: Martin Klebba, actor: Naomie Harris, actor: Orlando Bloom, actor: Peter Donald Badalamenti II, actor: Reggie Lee, actor: Stellan Skarsgård, actor: Takayo Fischer, actor: Tom Hollander, actor: Vanessa Branch, composer: Hans Zimmer, director: Dariusz Wolski, director: Gore Verbinski","{'genres: Action', 'genres: Fantasy', 'genres: Adventure'}",2007-05-19
Spectre,"actor: Adam McGrady, actor: Adel Bencherif, actor: Adriana Paz, actor: Alessandro Bressanello, actor: Alessandro Cremona, actor: Amra Mallassi, actor: Andrew Scott, actor: Andy Cheung, actor: Antonio Salines, actor: Ben Whishaw, actor: Benito Sagredo, actor: Bodo Friesecke, actor: Brigitte Millar, actor: Christoph Waltz, actor: Dai Tabuchi, actor: Daniel Craig, actor: Dave Bautista, actor: Derek Horsham, actor: Detlef Bothe, actor: Domenico Fortunato, actor: Eiji Mihara, actor: Emilio Aniba, actor: Erick Hayden, actor: Francesco Arca, actor: Francis Attakpah, actor: Gary Fannin, actor: Gediminas Adomaitis, actor: George Lasha, actor: Gido Schimanski, actor: Harald Windisch, actor: Ian Bonar, actor: Jesper Christensen, actor: Joseph Balderrama, actor: Judi Dench, actor: Junichi Kajioka, actor: Karl Farrer, actor: Kim Adis, actor: Konstantin Gerlach, actor: Lara Parmiani, actor: Lili Epply, actor: Léa Seydoux, actor: Marc Zinga, actor: Marco Zingaro, actor: Marie Wohlmuth, actor: Marlon Boess, actor: Matija Mondi Matović, actor: Matteo Taranto, actor: Maurisa Selene Coleman, actor: Michael Glantschnig, actor: Michael White, actor: Miloud Mourad Benamara, actor: Monica Bellucci, actor: Nader Dernaika, actor: Naomie Harris, actor: Nari Blair-Mangat, actor: Neve Gachev, actor: Nigel Barber, actor: Noah Saavedra, actor: Noemi Krausz, actor: Oleg Mirochnikov, actor: Patrice Naiambana, actor: Peppe Lanzetta, actor: Pezhmaan Alinia, actor: Phillip Law, actor: Pip Carter, actor: Ralph Fiennes, actor: Richard Banham, actor: Rory Kinnear, actor: Sadao Ueda, actor: Sargon Yelda, actor: Simon Lenagan, actor: Stefano Elfi DiClaudia, actor: Stephane Cornicard, actor: Stephanie Sigman, actor: Tam Williams, actor: Tenoch Huerta, actor: Tristan Matthiae, actor: Umit Ulgen, actor: Victor Schefé, actor: Wai Wong, actor: Walid Mumuni, actor: Wilhem Iben, actor: Ziad Abaza, composer: Thomas Newman, director: Chris Lowe, director: Hoyte van Hoytema, director: Hugh McClelland, director: Liam Georgensen, director: Lydia Fry, director: Marlene Chazot, director: Roxana Alexandru , director: Sam Mendes, director: Sami Gaidi","{'genres: Crime', 'genres: Adventure', 'genres: Action'}",2015-10-26
The Dark Knight Rises,"actor: Aidan Gillen, actor: Aja Evans, actor: Aldous Davidson, actor: Alex Kruz, actor: Alex Moore, actor: Alex Ziwak, actor: Aliash Tepina, actor: Allen Merritt, actor: Alon Aboutboul, actor: Andres Perez-Molina, actor: Anne Hathaway, actor: Anthony J. Sacco, actor: Aramis Knight, actor: Barbara Vincent, actor: Ben Mendelsohn, actor: Ben Roethlisberger, actor: Bill Cowher, actor: Brent Briscoe, actor: Brett Cullen, actor: Burn Gorman, actor: Cale McConnell, actor: Cameron Jack, actor: Charlie Alejandro, actor: Chris Ellis, actor: Chris Hill, actor: Chris Vaina, actor: Christian Bale, actor: Christopher Bryan Gomez, actor: Christopher Judge, actor: Cillian Murphy, actor: Cindy Jackson, actor: Claire Julien, actor: Courtney Munch, actor: Daniel Jordano, actor: Daniel Newman, actor: Daniel Sunjata, actor: David Dale McCue, actor: David Dayan Fisher, actor: David Gyasi, actor: David Monahan, actor: Desmond Harrington, actor: Diogo Hausen, actor: Duane Henry, actor: Ed Heavey, actor: Emily Schooley, actor: Eric Salazar, actor: Fileena Bahris, actor: Frank Fata, actor: Fredric Lehne, actor: Gary Oldman, actor: Gary Sievers, actor: Glen Powell, actor: Gonzalo Menendez, actor: Graham Curry, actor: Grant Babbitt, actor: Hector Atreyu Ruiz, actor: Hrvoje Klecz, actor: Ian Bohen, actor: Isiah Adams, actor: Jackson Nunn, actor: Jake Canuso, actor: James Harvey Ward, actor: James Quinn, actor: James Rawlings, actor: Jason Yee, actor: Jay Benedict, actor: Jeff Moffitt, actor: Jillian Armenante, actor: Joe Lipari, actor: Joey King, actor: John Farrer, actor: John Hollingworth, actor: John MacMillan, actor: John Nolan, actor: John W. Iwanonkiw, actor: John Zion, actor: Jorge Mardel, actor: Joseph Gordon-Levitt, actor: Joseph Lyle Taylor, actor: Joseph O'Brien, actor: Josh Pence, actor: Josh Stewart, actor: Joshua Elijah Reese, actor: Juno Temple, actor: Justin Michael Woods, actor: Kirsten Roeters, actor: Kyle David Pierce, actor: Kyle Patrick Brennan, actor: LeJon, actor: Lex Daniel, actor: Liam Neeson, actor: London May, actor: Marc Abbink, actor: Maria Zambrana, actor: Marion Cotillard, actor: Mark Falvo, actor: Mark Killeen, actor: Mark Roman, actor: Massi Furlan, actor: Matthew Gooley, actor: Matthew Modine, actor: Michael Caine, actor: Michael Papajohn, actor: Michael Power, actor: Michael Wren Gucciardo, actor: Michelle Vezzani, actor: Miranda Nolan, actor: Morgan Freeman, actor: Mychael Bates, actor: Nestor Carbonell, actor: Nick Julian, actor: Noel Gugliemi, actor: Olan Montgomery, actor: Oliver Cotton, actor: Orion McCabe, actor: Patrick Cox, actor: Patrick Jordan, actor: Patrick Leahy, actor: Paul Jude Letersky, actor: Peter Holden, actor: Reggie Lee, actor: Rick Bolander, actor: Rob Brown, actor: Robert Arensen, actor: Robert Wisdom, actor: Ronnie Gene Blevins, actor: Russ Fega, actor: Salomon Passariello, actor: Sam Harris, actor: Sam Kennard, actor: Sarah Goldberg, actor: Scott Churchson, actor: Shane Nolan, actor: Silvia Lombardo, actor: Stephanie Domini Ehlert, actor: Sun Jae Kim, actor: Thomas Lennon, actor: Thomas Tull, actor: Tiffany Kemp, actor: Tiffany Sander McKenzie, actor: Todd Gearhart, actor: Tom Conti, actor: Tom Hardy, actor: Tomas Arana, actor: Tommy Bayiokos, actor: Travis Guba, actor: Trevor White, actor: Troy Polamalu, actor: Tyler Dean Flores, actor: Tyler La Marr, actor: Uri Gavriel, actor: Vincent van Ommen, actor: Vito Grassi, actor: Wade Williams, actor: Warren Brown, actor: Will Estes, actor: William Devane, actor: William Kania, composer: Hans Zimmer, director: Anna Bregman, director: Christopher Nolan, director: James Hambidge, director: Matthew Reedy, director: Naaman Marshall, director: Nilo Otero, director: Robert W. Joseph, director: Sid Karne, director: Wally Pfister","{'genres: Thriller', 'genres: Crime', 'genres: Action', 'genres: Drama'}",2012-07-16
John Carter,"actor: Amanda Clayton, actor: Arkie Reece, actor: Bryan Cranston, actor: Christopher Goodman, actor: Ciarán Hinds, actor: Daryl Sabara, actor: Davood Ghadami, actor: Dominic West, actor: Don Stark, actor: Edmund Kente, actor: Emily Tierney, actor: James Embree, actor: James Purefoy, actor: Jared Cyr, actor: Joseph Billingiere, actor: Josh Daugherty, actor: Kyle Agnew, actor: Lynn Collins, actor: Mark Strong, actor: Nicholas Woodeson, actor: Philip Philmar, actor: Pippa Nixon, actor: Polly Walker, actor: Samantha Morton, actor: Taylor Kitsch, actor: Thomas Haden Church, actor: Willem Dafoe, director: Andrew M. Ward, director: Andrew Stanton, director: Ben Dixon, director: Daniel Mindel, director: James Hambidge, director: Josh Lusby, director: Naaman Marshall, director: Peter Dorme, director: Ryan Church, director: Toby Britton, director: Tommy Gormley","{'genres: Science Fiction', 'genres: Adventure', 'genres: Action'}",2012-03-07
Spider-Man 3,"actor: A.J. Adelman, actor: Abbey Skinner, actor: Aija Terauda, actor: Aimee Miles, actor: Alyssa Lakota, actor: Amanda Florian, actor: Amy V. Dewhurst, actor: Andre B. Blake, actor: Andrew James Jones, actor: Angelis Alexandris, actor: Anjelia Pelay, actor: Anne Gartlan, actor: Anya Avaeva, actor: April Parker-Jones, actor: Arick Salmea, actor: Arne Starr, actor: Becky Ann Baker, actor: Bernadette Lords, actor: Bill E. Rogers, actor: Bill Nunn, actor: Brenna Roth, actor: Bria Roberts, actor: Brian Hopson, actor: Brianna Leann Florian, actor: Brigid Turner, actor: Brittany Krall, actor: Bruce Campbell, actor: Bryce Dallas Howard, actor: Carolyn Neff, actor: Christina Cindrich, actor: Christopher Jude, actor: Christopher Stadulis, actor: Christopher Young, actor: Chuck Gerena, actor: Claude Jay, actor: Claudia Katz Minnick, actor: Cliff Robertson, actor: Crystal Marie Denha, actor: Daniel Gillies, actor: Daniel Mignault, actor: Daniel Shafer, actor: David Backus, actor: Dawn Marie Anderson, actor: Dean Edwards, actor: Derrick 'Phoenix' Thomas, actor: Dylan Baker, actor: Edward Padilla, actor: Elizabeth Banks, actor: Elya Baskin, actor: Emilio Rivera, actor: Eric Shackelford, actor: Evelyn Vaccaro, actor: Frank Anello, actor: Fredrick Weiss, actor: Graig F. Weich, actor: Grant Curtis, actor: Gregg Daniel, actor: Hal Fishman, actor: Irina Costa, actor: J.K. Simmons, actor: James Cromwell, actor: James Franco, actor: Jen Oda, actor: Jennifer Sparks, actor: Jennifer Weston, actor: Jessi Collins, actor: Jim Coope, actor: Jimmy Star, actor: Joe Bays, actor: Joe Manganiello, actor: Joe Virzi, actor: John Crann, actor: John Paxton, actor: Joseph O'Brien, actor: Julie Jei, actor: Kathryn Bryding, actor: Keith Fausnaught, actor: Keith Woulard, actor: Kevin Fung, actor: Kirsten Dunst, actor: Kristin Somo, actor: La Rivers, actor: Laura McDavid, actor: Liam Stone, actor: Linda Lee, actor: Logan Fry, actor: Lucy Gordon, actor: Luis Rosa, actor: Mageina Tovah, actor: Marc C. Cancassi, actor: Marc Vann, actor: Margaret Laney, actor: Mark Kubr, actor: Martha Millan, actor: Michael Alexander, actor: Michael Ciesla, actor: Michael McLaughlin, actor: Michael Papajohn, actor: Michele-Nanette Miller, actor: Natalie Fabry, actor: Natalie Jones, actor: Natalie McNeil, actor: Nick Poltoranin, actor: Nick Vlassopoulos, actor: Paul Edney, actor: Paul Terrell Clayton, actor: Perla Haney-Jardine, actor: Pierangeli Llinas, actor: Ramon Adams, actor: Ray Wineteer, actor: Reynaldo Gallegos, actor: Robert Curtis Brown, actor: Robert Myers, actor: Rogelio T. Ramos, actor: Rosemary Harris, actor: Sandrine Marlier, actor: Shade Rupe, actor: Shaun Patrick Flynn, actor: Silq Webster, actor: Sincerely A. Ward, actor: Sonya Maddox, actor: Stan Lee, actor: Steve Valentine, actor: Sujeilee Candele, actor: Tajna Tanovic, actor: Tanya Bond, actor: Ted Raimi, actor: Theresa Russell, actor: Thomas Haden Church, actor: Tia Latrell, actor: Tiffany Ashley Florian, actor: Tiffany L. Baker, actor: Tim Maculan, actor: Timothy Patrick Quill, actor: Tobey Maguire, actor: Toni Wynne, actor: Tony Besson, actor: Tony Galtieri, actor: Topher Grace, actor: Trenton Willey, actor: Vanessa Reseland, actor: Vanessa Ross, actor: Willem Dafoe, composer: Christopher Young, director: Bill Pope, director: Sam Raimi","{'genres: Fantasy', 'genres: Adventure', 'genres: Action'}",2007-05-01
Tangled,"actor: Brad Garrett, actor: Byron Howard, actor: Delaney Rose Stein, actor: Donna Murphy, actor: Jeffrey Tambor, actor: M.C. Gainey, actor: Mandy Moore, actor: Nathan Greno, actor: Paul F. Tompkins, actor: Richard Kiel, actor: Ron Perlman, actor: Tim Mertens, actor: Zachary Levi, composer: Alan Menken, composer: Kevin Kliesch, director: Byron Howard, director: Dan Cooper, director: Nathan Greno","{'genres: Family', 'genres: Animation'}",2010-11-24
Avengers: Age of Ultron,"actor: Aaron Himelstein, actor: Aaron Taylor-Johnson, actor: Alma Noce, actor: Andy Serkis, actor: Anthony Mackie, actor: Antony Acheampong, actor: Arthur Lee, actor: Barry Aird, actor: Ben Sakamoto, actor: Bentley Kalu, actor: Beulah Hashe, actor: Brian Schaeffer, actor: Chan Woo Lim, actor: Chioma Anyanwu, actor: Chris Evans, actor: Chris Hemsworth, actor: Chris Luca, actor: Christopher Beasley, actor: Claudia Kim, actor: Cobie Smulders, actor: Constanza Ruff, actor: Daniel Westwood, actor: Dilyana Bouklieva, actor: Dominique Provost-Chalkley, actor: Don Cheadle, actor: Earl T. Kim, actor: Elizabeth Olsen, actor: Gareth Kieran Jones, actor: Harriet Manamela, actor: Hayley Atwell, actor: Henry Goodman, actor: Ian Kay, actor: Idris Elba, actor: Imogen Poynton, actor: Ingvild Deila, actor: Isaac Andrews, actor: Isabella Poynton, actor: Jaiden Stafford, actor: James Spader, actor: Jeremy Renner, actor: Josh Brolin, actor: Joti Nagra, actor: Julia Krynke, actor: Julian Bleach, actor: Julie Delpy, actor: Kabelo Thai, actor: Kerry Condon, actor: Lele Leowaba, actor: Linda Cardellini, actor: Mandla Gaduka, actor: Mark Ruffalo, actor: Mathapelo September, actor: Michael Matovski, actor: Mina Kweon, actor: Minhee Yeo, actor: Monty Mclaren-Clark, actor: Musca Kumalo, actor: Namju Go, actor: Nick W. Nicholson, actor: Nondumiso Tembe, actor: Paul Bettany, actor: Riccardo Richetta, actor: Robert Downey Jr., actor: Samuel L. Jackson, actor: Scarlett Johansson, actor: Stan Lee, actor: Stellan Skarsgård, actor: Sunny Yeo, actor: Thomas Kretschmann, actor: Tony Christensen, actor: Verity Hewlett, actor: Vuyo Dabula, cinematographer: John Gamble, cinematographer: John Mahaffie, composer: Brian Tyler, composer: Danny Elfman, director: Ben Davis, director: Joss Whedon, director: Ray Chan, writer: Joss Whedon","{'genres: Science Fiction', 'genres: Adventure', 'genres: Action'}",2015-04-22
Harry Potter and the Half-Blood Prince,"actor: Afshan Azad, actor: Alan Rickman, actor: Alfie Enoch, actor: Anna Shaffer, actor: Bonnie Wright, actor: Daniel Radcliffe, actor: Dave Legeno, actor: David Bradley, actor: David Thewlis, actor: Devon Murray, actor: Elarica Gallacher, actor: Emma Watson, actor: Evanna Lynch, actor: Frank Dillane, actor: Freddie Stroma, actor: Gemma Jones, actor: Georgina Leonidas, actor: Geraldine Somerville, actor: Helen McCrory, actor: Helena Bonham Carter, actor: Hero Fiennes-Tiffin, actor: Isabella Laughland, actor: James Phelps, actor: Jamie Waylett, actor: Jessie Cave, actor: Jim Broadbent, actor: Josh Herdman, actor: Julie Walters, actor: Katie Leung, actor: Louis Cordice, actor: Maggie Smith, actor: Mark Williams, actor: Matthew Lewis, actor: Michael Gambon, actor: Natalia Tena, actor: Oliver Phelps, actor: Paul Ritter, actor: Ralph Ineson, actor: Robbie Coltrane, actor: Robert Knox, actor: Rod Hunt, actor: Rupert Grint, actor: Scarlett Byrne, actor: Shefali Chowdhury, actor: Suzanne Toase, actor: Timothy Spall, actor: Tom Felton, actor: Warwick Davis, actor: William Melling, composer: Nicholas Hooper, director: Andrew Ackland-Snow, director: Bruno Delbonnel, director: David Yates","{'genres: Family', 'genres: Fantasy', 'genres: Adventure'}",2009-07-07
Batman v Superman: Dawn of Justice,"actor: Abigail Kuklis, actor: Ahman Green, actor: Ahney Her, actor: Alan D. Purwin, actor: Albert Valladares, actor: Alicia Regan, actor: Alma Martinez, actor: Amy Adams, actor: Anderson Cooper, actor: Andrew Sullivan, actor: Anish Jethmalani, actor: Anne Marie Damman, actor: Axel Harney, actor: Bailey Chase, actor: Barton Bund, actor: Ben Affleck, actor: Brandon Bautista, actor: Brandon Spink, actor: Brian Boland, actor: Brooke Baldwin, actor: C.T. Fletcher, actor: Callan Mulvey, actor: Carla Gugino, actor: Carmen Gangale, actor: Chad Krowchuk, actor: Charlie Rose, actor: Chris Newman, actor: Christina Wren, actor: Coburn Goss, actor: Connie Craig, actor: Cruz Gonzalez-Cadel, actor: Dan Amboyer, actor: Dana Bash, actor: Danny Mooney , actor: Dante Briggins, actor: Dave Pasch, actor: David Leach, actor: David Midura, actor: David Paris, actor: Debbie Scaletta, actor: Debbie Stabenow, actor: Dennis North, actor: Diana Gaitirira, actor: Diane Lane, actor: Duvale Murchison, actor: Ele Bardha, actor: Emily Peterson, actor: Erika R. Erickson, actor: Esodie Geiger, actor: Ezra Miller, actor: Gal Gadot, actor: Gary A. Hecker, actor: Gordon Michaels, actor: Graham W.J. Beal, actor: Greg Violand, actor: Hanna Dworkin, actor: Harry Lennix, actor: Henri Franklin, actor: Henrietta Hermelin, actor: Henry Cavill, actor: Henry Frost III, actor: Holly Hunter, actor: Hugh Maguire, actor: Inder Kumar, actor: Issac Ryan Brown, actor: Jade Chynoweth, actor: Jalene Mack, actor: Jason Hughley, actor: Jason Momoa, actor: Jay R. Adams, actor: Jay Towers, actor: Jeff Dumas, actor: Jeff Hanlin, actor: Jeffrey Dean Morgan, actor: Jena Malone, actor: Jeremy Irons, actor: Jesse Eisenberg, actor: Jesse Nagy, actor: Joe Cipriano, actor: Joe Morton, actor: John Lepard, actor: Jon Stewart, actor: Jonathan Stanley, actor: Jonathan West, actor: Joseph Cranford, actor: Julius Tennon, actor: Keith D. Gallagher, actor: Kent Shocknek, actor: Kevin Costner, actor: Kiff VandenHeuvel, actor: Kirill Ostapenko, actor: Kristine Cabanban, actor: Laura Atwood, actor: Lauren Cohan, actor: Laurence Fishburne, actor: Lulu Dahl, actor: Lynch R. Travis, actor: Marcel Shihadeh, actor: Marcelo Bem, actor: Marcus Goddard, actor: Mason Heidger, actor: Meighan Gerachis, actor: Michael Cassidy, actor: Michael Ellison, actor: Michael Shannon, actor: Milica Govich , actor: Miriam Lee, actor: Nancy Grace, actor: Natalee Arteaga, actor: Neil deGrasse Tyson, actor: Nene Nwoko, actor: Nicole Forester, actor: Nicole Santini, actor: Owais Ahmed, actor: Patrick Leahy, actor: Patrick O'Connor Cronin, actor: Patrick Wilson, actor: Ralph Lister, actor: Rashontae Wawrzyniak, actor: Ray Fisher, actor: Rebecca Buller, actor: Richard Burden, actor: Ripley Sobo, actor: Robin Atkin Downes, actor: Sal Lopez, actor: Sam Logan Khaleghi, actor: Sammi Rotibi, actor: Sammy A. Publes, actor: Sandra Love Aldridge, actor: Satori Shakoor, actor: Scoot McNairy, actor: Scott Edward Logan, actor: Sebastian Sozzi, actor: Shannon Garnett, actor: Sidi Henderson, actor: Soledad O'Brien, actor: Sonja Crosby, actor: Stephanie Koenig, actor: Steve Jasgur, actor: T.J. Martinelli, actor: Tao Okamoto, actor: Taras Los, actor: Theo Bongani Ndyalvane, actor: Thomas J. Fentress, actor: Tiffany Bedwell, actor: Tiffany L. Addison, actor: Tiren Jhames, actor: Tom Luginbill, actor: Vikram Gandhi, actor: Wayne E. Brown, actor: Will Blagrove, actor: Wunmi Mosaku, composer: Hans Zimmer, composer: Junkie XL, director: Jade Mansueto, director: Justin N. Lang, director: Larry Fong, director: Lidia Martinez Prado, director: Shari Ratliff, director: Tom Castronovo, director: Troy Sizemore, director: Zack Snyder","{'genres: Fantasy', 'genres: Adventure', 'genres: Action'}",2016-03-23
